year,month,data_value,car_id
2016,8,448,0
2016,7,476,0
2016,6,509,0
2016,5,215,0
2016,8,1352,1
2016,7,756,1
2016,6,1088,1
2016,5,1102,1
2016,4,1042,1
2016,3,650,1
2016,2,138,1
2016,1,239,1
2015,12,424,1
2015,11,425,1
2015,10,659,1
2015,9,719,1
2015,8,397,1
2015,7,318,1
2015,6,302,1
2015,5,942,1
2015,4,1642,1
2015,3,2129,1
2015,2,1022,1
2015,1,725,1
2014,12,10,1
2016,8,322,2
2016,7,418,2
2016,5,571,2
2016,4,320,2
2016,3,200,2
2016,2,124,2
2016,1,206,2
2015,12,364,2
2015,11,61,2
2015,10,183,2
2015,9,178,2
2015,8,243,2
2015,7,136,2
2015,6,47,2
2015,5,38,2
2015,4,29,2
2015,3,45,2
2015,2,262,2
2015,1,193,2
2014,12,187,2
2014,11,108,2
2014,10,301,2
2014,9,194,2
2014,8,114,2
2014,7,719,2
2014,6,346,2
2014,5,350,2
2014,4,234,2
2014,3,246,2
2014,2,937,2
2014,1,388,2
2013,12,1578,2
2013,11,544,2
2013,10,981,2
2013,9,382,2
2013,8,519,2
2013,7,446,2
2013,6,424,2
2013,5,539,2
2013,4,514,2
2013,3,587,2
2013,2,681,2
2013,1,597,2
2012,12,804,2
2012,11,340,2
2012,10,413,2
2012,9,606,2
2012,8,249,2
2012,7,250,2
2012,6,1028,2
2012,5,1228,2
2012,4,1344,2
2012,3,1512,2
2012,2,1250,2
2012,1,588,2
2011,12,2963,2
2011,11,1704,2
2011,10,1439,2
2011,9,1448,2
2011,8,811,2
2011,7,700,2
2011,6,1220,2
2011,5,1205,2
2011,4,1445,2
2011,3,3218,2
2011,2,2068,2
2011,1,2856,2
2016,8,1209,3
2016,7,375,3
2016,6,396,3
2016,5,1384,3
2016,4,769,3
2016,3,406,3
2016,2,140,3
2016,1,688,3
2015,12,415,3
2015,11,1130,3
2015,10,1311,3
2015,9,1170,3
2015,8,521,3
2015,7,524,3
2015,6,544,3
2015,5,1499,3
2015,4,2111,3
2015,3,3768,3
2015,2,3364,3
2015,1,5071,3
2014,12,8555,3
2014,11,5834,3
2014,10,5160,3
2014,9,4398,3
2014,8,2054,3
2014,7,648,3
2014,6,1729,3
2014,5,1997,3
2014,4,1513,3
2014,3,1854,3
2014,2,1423,3
2014,1,1900,3
2013,12,4402,3
2013,11,2730,3
2013,10,1979,3
2013,9,1961,3
2013,8,609,3
2013,7,119,3
2016,8,18,4
2016,7,36,4
2016,6,3,4
2016,5,19,4
2016,4,39,4
2016,3,165,4
2016,2,64,4
2016,1,140,4
2015,12,937,4
2015,11,231,4
2015,10,41,4
2015,9,29,4
2015,8,56,4
2015,7,91,4
2015,6,1242,4
2015,5,937,4
2015,4,1104,4
2015,3,1602,4
2015,2,1180,4
2015,1,1424,4
2014,12,1717,4
2014,11,1593,4
2014,10,1750,4
2014,9,2218,4
2014,8,2737,4
2014,7,2343,4
2014,6,2915,4
2014,5,2517,4
2014,4,2945,4
2016,8,118,5
2016,7,200,5
2016,6,1225,5
2016,5,1148,5
2016,4,1534,5
2016,3,815,5
2016,2,611,5
2016,1,1118,5
2015,12,1149,5
2015,11,754,5
2015,10,699,5
2015,9,871,5
2015,8,1350,5
2015,7,1218,5
2015,6,2038,5
2015,5,2056,5
2015,4,905,5
2016,8,1817,6
2016,7,1350,6
2016,6,2687,6
2016,5,1775,6
2016,4,2826,6
2016,3,3415,6
2016,2,2661,6
2016,1,4550,6
2015,12,3891,6
2015,11,3700,6
2015,10,3127,6
2015,9,2989,6
2015,8,2708,6
2015,7,1302,6
2015,6,1166,6
2015,5,725,6
2015,4,1843,6
2015,3,3411,6
2015,2,2939,6
2015,1,4193,6
2014,12,3377,6
2014,11,2882,6
2014,10,3449,6
2014,9,1933,6
2014,8,1990,6
2014,7,2940,6
2014,6,2446,6
2014,5,4664,6
2014,4,3114,6
2014,3,7964,6
2014,2,4663,6
2014,1,9891,6
2013,12,8410,6
2013,11,6526,6
2013,10,6571,6
2013,9,5800,6
2013,8,4253,6
2013,7,3481,6
2013,6,3080,6
2013,5,3198,6
2013,4,1867,6
2016,8,301,7
2016,7,717,7
2016,6,376,7
2016,4,260,7
2016,3,422,7
2016,2,162,7
2016,1,291,7
2015,12,558,7
2015,11,451,7
2015,10,462,7
2015,9,1041,7
2015,8,211,7
2015,7,525,7
2015,6,381,7
2015,5,258,7
2015,4,307,7
2015,3,359,7
2015,2,201,7
2015,1,283,7
2014,12,363,7
2014,11,235,7
2014,10,298,7
2014,9,228,7
2014,8,136,7
2014,7,226,7
2014,6,192,7
2014,5,173,7
2014,4,213,7
2014,3,470,7
2014,2,74,7
2014,1,100,7
2013,12,566,7
2013,11,662,7
2013,10,300,7
2013,9,212,7
2013,8,324,7
2013,7,319,7
2013,6,155,7
2013,5,86,7
2013,4,23,7
2013,3,210,7
2013,2,22,7
2013,1,82,7
2012,12,37,7
2012,11,32,7
2012,10,39,7
2012,9,19,7
2016,8,673,8
