car_id,mean,min,max
1,831.8888889,10,2129
2,778.5357143,29,3218
3,2548.730769,119,8555
4,1668.882353,56,2945
5,1513.4,905,2056
6,3820.206897,725,9891
7,231.1388889,19,662
8,256.75,3,896
9,89.5,1,868
11,24923.07692,12006,31472
12,1226.936842,3,4541
13,2617.740385,478,5542
14,9541.048077,487,17561
15,6292.59322,345,9973
16,11924.38095,491,28611
18,279.1578947,5,1535
19,3387.183673,294,6606
20,553.5333333,1,1570
21,6006.352941,2696,9052
23,3428.74,117,10388
24,4074.536585,438,15558
25,4679.666667,1321,10428
27,1525.428571,125,4323
28,1384.769231,269,3162
29,82.18681319,1,654
31,4062.882353,1789,6623
32,2153.818182,89,4154
33,983,13,2959
34,328.6551724,1,1159
36,8590,71,15884
37,1362.622642,60,4168
38,11412.51042,2611,29267
40,1469.666667,323,2135
43,947.1442308,27,5233
44,7826.037037,1371,17846
45,3190.095238,1321,5122
48,832.4310345,45,2664
49,1917.04,295,4131
50,1985.1,392,3944
51,550.7777778,57,782
53,1413.980392,298,3720
54,2670.894231,1,8432
56,214.4722222,4,475
57,7310,3972,9173
58,3860.375,1067,7134
59,2761.230769,221,9143
61,8137.653846,805,21814
62,756.7391304,7,2007
63,758.25,78,2934
65,3541.273684,632,6810
66,3458.105263,1,9632
67,1078.27907,1,2912
68,8616.298077,30,35290
69,515.1,52,1628
71,1393.428571,337,3393
72,1488.285714,349,3339
74,4006.171429,713,7714
75,9693.136364,70,17431
78,633.5142857,19,1962
79,281.9358974,1,1317
80,1197.285714,1,8882
81,3902.555556,9,6926
82,2866.666667,320,6348
83,733.1,269,1628
84,16055.14286,5496,25841
85,95.67567568,1,494
86,15759.86885,14,26515
87,8431,2021,16278
88,6403.85,791,18567
89,1576.7,665,3066
90,1643.337079,1,3371
91,957.2,252,1373
93,23625.5,10140,36117
94,3860.25,1322,6477
95,10655.57143,1260,15975
96,5709.4,2544,7703
100,5422.034483,1067,8203
103,2142.34375,4,5792
104,9705,4948,12670
107,1358.928571,1,4613
108,3094.233333,1420,6947
109,2626.596774,302,10094
111,758.3333333,412,1140
112,871.3478261,4,2428
114,1115.052632,1,3435
116,13493.2,102,29018
117,4323.444444,1246,6360
118,1383.472222,710,3642
120,398.325,14,2175
121,370.970297,2,875
122,2704.777778,1,6807
123,1639.24,1,5865
124,6264.25,924,13810
126,10150.57576,2999,16213
127,1701.2,625,2744
130,303.425,32,1312
131,9922.932692,2919,19242
133,6202.45,1,10697
134,7156.115385,1777,11933
135,1680.371429,325,3169
137,83.91666667,7,221
138,1005.723077,30,3065
139,7675.68254,2099,12435
142,179.4117647,3,532
145,3612.558824,1416,7342
146,859.8,415,1307
147,886.7368421,1,3458
148,111.8,1,257
149,32986.59091,12256,54546
150,3487.729167,87,8095
151,660.0384615,35,2874
152,2634.376471,1,4772
154,3142.940594,2,6773
155,875.1666667,362,2127
158,640.9166667,2,1824
159,4681.596154,340,11973
160,305.3846154,52,2128
161,4057.807692,333,6286
162,2810.333333,2287,3216
163,3174.686047,118,10313
165,1873.25,240,3594
166,1419.2,439,2897
167,3169.666667,32,5493
168,4121.660377,951,5459
169,5143.846154,2094,8017
170,11042.16667,398,16293
172,2105.632653,532,4544
173,2552.728155,1,5816
174,3984.557692,284,15094
175,4295.058824,459,10045
176,1731.75,155,3113
178,416.2258065,3,1173
181,8871.791667,3857,12324
182,2968.0625,582,4711
184,1392.065217,202,4567
185,3176.492063,532,5783
187,48.6,5,105
188,8930.979798,2858,16750
189,1456.987179,5,2360
190,3721.83871,686,7185
191,5773.564516,2218,11331
192,10791.81818,2307,23238
193,5496.6875,3084,8121
194,1051.125,290,2027
195,1212.041667,192,2654
196,14.04,1,49
197,139.1111111,1,778
198,5806,2494,7999
200,913.2333333,17,2776
202,570.3333333,183,1190
203,2480,1973,3029
204,1899.694737,1,5278
206,310.7894737,4,1665
209,567.3170732,1,2756
210,7747.972222,306,14236
211,13215.86813,1,27941
212,2054.414634,10,5113
214,506.245614,1,2027
215,271.75,104,657
216,4078.212121,720,8763
217,523.7380952,4,1342
218,124.0813953,1,547
219,627.0714286,29,3163
222,7035.721154,2891,22894
225,1801.1,569,3309
226,4206.948718,109,9441
227,4909.903226,501,8190
228,8310.8,780,14321
229,1322.015873,122,2217
230,1359.411765,342,3488
231,355.2337662,2,1881
233,398.2352941,27,2174
234,19785.48077,8645,35134
235,4897.08,1347,7540
236,997.407767,4,3814
237,75.10526316,2,417
238,144.6744186,7,344
240,387.6,2,7383
241,1332.958333,16,4007
242,104.1794872,1,500
243,13143,9158,17128
244,2056.71875,76,5218
245,862,862,862
246,1725.181818,976,2964
247,1174.608696,180,2235
249,496.3421053,7,1987
250,6366.519231,17,12178
251,341.75,17,720
252,7358.961538,95,14676
253,4996.166667,3584,6400
254,7072.356436,1,26078
255,3431.333333,1852,6566
256,1024.829268,1,3022
257,267.8125,2,910
258,332.9090909,62,540
259,6525.72,678,13947
260,1770.809524,142,4030
261,13987.42857,5128,31472
262,6564.095238,433,12215
263,667.5909091,6,2366
264,2175.959596,6,7416
266,3264.5,173,6356
267,10437,7152,17706
269,580.7692308,83,1317
270,45130.25,18453,81153
271,4703.6875,1914,8089
272,1435.181818,676,2949
273,39.36,1,304
274,913.5,185,1915
278,1605.901235,12,7416
280,7932.367647,1,21622
281,2773,66,6370
282,668.6511628,13,1500
283,1623,1623,1623
284,162.6923077,1,1026
285,1471.941176,65,4455
286,6669.789474,64,10553
287,6664.792453,104,15012
288,1887.816901,100,3736
289,7679.7,1002,11075
290,8243.888889,526,13516
291,6446.415842,25,14298
293,28.18181818,1,171
294,4600.823529,1607,8010
295,22.8,1,81
296,5058.121212,1137,10028
297,1303.55,13,3708
298,283.75,98,679
299,797.875,413,1805
300,3062.96875,20,8961
301,4740.875,2238,6813
302,11481.44231,3939,29184
303,3809.6,2286,5437
306,11150.9,4342,15605
307,1991.555556,365,4011
308,5208.921875,30,12356
309,165.3870968,1,550
311,6043.5,1537,8100
314,778.28,56,3264
315,15314.47619,930,32912
316,4666.108696,1256,8925
317,697.8333333,1,2145
318,6241.656566,3,11893
320,1263.461538,15,4625
321,19097.97087,1327,30264
322,193.2,1,1128
323,6792.5,3848,8416
324,11695.71233,805,26285
326,2866.735294,930,5939
327,4594.390244,2112,7675
328,864.744186,1,2275
330,5295.633803,574,12819
334,350.0454545,1,2573
335,4368.931818,438,10220
336,9718.509615,259,19103
337,286.1590909,10,1103
339,82.44594595,1,349
341,4362.181818,336,8873
342,102.8245614,1,984
343,525.9565217,170,1730
344,2478.16092,3,9559
345,1370.75,676,2376
346,24085.71429,14796,40219
347,4197.971154,559,8548
348,17784.75,8739,30003
349,2574.245283,10,10324
354,11295.17647,714,21259
355,266.4716981,1,1434
356,1628.4,247,4764
357,2504.4,1033,3539
358,1079.04,110,2359
360,2272.778846,369,12887
361,749.9090909,18,2224
364,1123.263158,282,2380
365,584.61,1,2347
367,6333.223301,1,12053
368,7274.112903,1442,11216
369,5597.833333,682,9966
372,30,3,122
373,308,308,308
374,1570.285714,456,2871
376,2818.968421,570,5263
377,1815.243243,345,4712
379,8915.411765,1787,18592
380,6149.227273,885,11114
381,9916.6875,6403,14732
382,425.6097561,2,1023
383,370.921875,10,1720
385,6480.7,1780,14255
386,806.1538462,200,1867
387,53.46808511,1,307
388,2713.894231,103,6400
389,208.1960784,1,1518
390,1769.727273,530,3446
391,1533.8,450,3810
392,5059.2,1497,6751
394,4237.761905,448,7654
398,14686.33333,3710,23446
399,909.9807692,4,3178
400,2238.961538,616,6115
401,4152.25,826,6589
402,5043.09375,2209,7217
403,6600.828125,2733,15069
405,3192.470588,2,10527
406,1219.8125,415,1698
408,11108.67308,1270,21124
409,1313.92233,305,5213
410,12084.36538,2662,30933
411,7484.166667,2429,12491
413,2439.637681,13,7829
414,5968.541176,2,16321
415,356.2272727,1,3111
416,2368.761905,38,10100
417,1762.744681,1,5090
418,2060.5,467,4831
419,3428.05,294,6687
420,816.8666667,4,2182
421,2749.46875,1230,4413
423,5311.809524,1629,7487
426,6747.543478,3446,12642
427,33,33,33
428,4736.779661,27,12017
429,3372.737705,549,8424
430,525.7333333,2,1788
431,344.0967742,6,1197
432,1040,468,1566
433,5314.711538,1486,13294
435,10197.22581,1109,16068
438,2207.074627,23,4618
439,3490.888889,136,7573
440,217.7,9,582
441,4456.519231,1197,9049
442,9635.727273,2880,13691
443,115.7654321,2,430
444,3233.658537,603,6075
445,3035.97619,100,5020
448,11804,6264,21915
449,1648.888889,34,8232
450,687.3214286,1,1943
451,5099.115385,1393,11859
452,7770.395349,1587,17080
453,11.55,2,43
454,8791.96875,76,24723
456,2184.225,3,12549
457,12771.46154,4167,18232
459,2617.833333,338,4937
460,254.52,6,1488
