,id,year,month,pSales,predict,error
0,1,2016,8,3.0,-1.0,-4.0
8,1,2015,12,-2.0,-1.0,1.0
9,1,2015,11,-2.0,-1.0,1.0
10,1,2015,10,-1.0,-1.0,0.0
11,1,2015,9,-0.0,-1.0,-1.0
12,1,2015,8,-2.0,-1.0,1.0
21,2,2016,8,-1.0,-1.0,0.0
28,2,2015,12,-1.0,-1.0,0.0
29,2,2015,11,-2.0,-1.0,1.0
30,2,2015,10,-2.0,-1.0,1.0
31,2,2015,9,-2.0,-1.0,1.0
32,2,2015,8,-2.0,-1.0,1.0
88,3,2016,8,-1.0,-2.0,-1.0
96,3,2015,12,-2.0,-1.0,1.0
97,3,2015,11,-1.0,-1.0,0.0
98,3,2015,10,-1.0,-1.0,0.0
99,3,2015,9,-1.0,-1.0,0.0
100,3,2015,8,-2.0,-1.0,1.0
126,4,2016,8,-4.0,-2.0,2.0
134,4,2015,12,-1.0,-1.0,0.0
135,4,2015,11,-3.0,-1.0,2.0
136,4,2015,10,-4.0,-1.0,3.0
137,4,2015,9,-4.0,-1.0,3.0
138,4,2015,8,-4.0,-1.0,3.0
155,5,2016,8,-6.0,-2.0,4.0
163,5,2015,12,-0.0,-1.0,-1.0
164,5,2015,11,-2.0,-1.0,1.0
165,5,2015,10,-3.0,-1.0,2.0
166,5,2015,9,-2.0,-1.0,1.0
167,5,2015,8,1.0,-1.0,-2.0
172,6,2016,8,-2.0,-2.0,0.0
180,6,2015,12,0.0,-1.0,-1.0
181,6,2015,11,0.0,-1.0,-1.0
182,6,2015,10,-1.0,-1.0,0.0
183,6,2015,9,-1.0,-1.0,0.0
184,6,2015,8,-1.0,-1.0,0.0
213,7,2016,8,1.0,-2.0,-3.0
220,7,2015,12,4.0,-1.0,-5.0
221,7,2015,11,3.0,-1.0,-4.0
222,7,2015,10,3.0,-1.0,-4.0
223,7,2015,9,11.0,-1.0,-12.0
224,7,2015,8,-1.0,-1.0,0.0
260,8,2016,8,4.0,-1.0,-5.0
274,9,2016,8,4.0,-1.0,-5.0
276,9,2015,12,-0.0,-1.0,-1.0
277,9,2015,11,1.0,-1.0,-2.0
278,9,2015,10,-1.0,-1.0,0.0
279,9,2015,9,-1.0,-1.0,0.0
280,9,2015,8,-1.0,-1.0,0.0
324,11,2016,8,2.0,-2.0,-4.0
332,11,2015,12,8.0,-1.0,-9.0
333,11,2015,11,0.0,-1.0,-1.0
334,11,2015,10,-1.0,-1.0,0.0
335,11,2015,9,-1.0,-1.0,0.0
336,11,2015,8,-1.0,-1.0,0.0
445,13,2016,8,-2.0,-2.0,0.0
453,13,2015,12,-3.0,-1.0,2.0
454,13,2015,11,-1.0,-1.0,0.0
455,13,2015,10,-2.0,-1.0,1.0
456,13,2015,9,-2.0,-1.0,1.0
457,13,2015,8,-3.0,-1.0,2.0
568,14,2015,12,-4.0,-1.0,3.0
569,14,2015,11,-5.0,-1.0,4.0
570,14,2015,10,-5.0,-2.0,3.0
571,14,2015,9,-5.0,-2.0,3.0
572,14,2015,8,-5.0,-2.0,3.0
676,15,2016,8,-2.0,-1.0,1.0
683,15,2015,12,5.0,-1.0,-6.0
684,15,2015,11,4.0,-1.0,-5.0
685,15,2015,10,2.0,-1.0,-3.0
686,15,2015,9,1.0,-1.0,-2.0
687,15,2015,8,-3.0,-1.0,2.0
746,16,2016,8,6.0,-2.0,-8.0
754,16,2015,12,6.0,-1.0,-7.0
755,16,2015,11,6.0,-1.0,-7.0
756,16,2015,10,5.0,-1.0,-6.0
757,16,2015,9,5.0,-1.0,-6.0
758,16,2015,8,4.0,-1.0,-5.0
821,18,2016,8,-1.0,-2.0,-1.0
829,18,2015,12,-1.0,-1.0,0.0
830,18,2015,11,-2.0,-1.0,1.0
831,18,2015,9,-1.0,-2.0,-1.0
832,18,2015,8,-2.0,-2.0,0.0
900,20,2016,8,-3.0,-2.0,1.0
908,20,2015,12,-3.0,-1.0,2.0
909,20,2015,11,-2.0,-1.0,1.0
910,20,2015,10,-2.0,-1.0,1.0
911,20,2015,9,-2.0,-1.0,1.0
912,20,2015,8,-2.0,-1.0,1.0
942,21,2016,8,-0.0,-1.0,-1.0
950,21,2015,12,3.0,-1.0,-4.0
951,21,2015,11,4.0,-1.0,-5.0
952,21,2015,10,4.0,-1.0,-5.0
953,21,2015,9,2.0,-1.0,-3.0
954,21,2015,8,2.0,-1.0,-3.0
995,22,2015,12,-1.0,-1.0,0.0
996,22,2015,11,-2.0,-1.0,1.0
997,22,2015,10,-2.0,-2.0,0.0
998,22,2015,9,-2.0,-2.0,0.0
999,22,2015,8,-2.0,-2.0,0.0
1061,23,2016,8,-3.0,-2.0,1.0
1069,23,2015,12,-3.0,-1.0,2.0
1070,23,2015,11,-3.0,-1.0,2.0
1071,23,2015,10,-3.0,-1.0,2.0
1072,23,2015,9,-3.0,-1.0,2.0
1073,23,2015,8,-3.0,-1.0,2.0
1123,24,2016,8,4.0,-1.0,-5.0
1131,24,2015,12,9.0,-1.0,-10.0
1132,24,2015,11,9.0,-1.0,-10.0
1133,24,2015,10,6.0,-1.0,-7.0
1134,24,2015,9,7.0,-1.0,-8.0
1135,24,2015,8,4.0,-1.0,-5.0
1217,25,2016,8,-3.0,-2.0,1.0
1225,25,2015,12,2.0,-1.0,-3.0
1226,25,2015,11,0.0,-1.0,-1.0
1227,25,2015,10,-0.0,-1.0,-1.0
1228,25,2015,9,-1.0,-1.0,0.0
1229,25,2015,8,-0.0,-2.0,-2.0
1260,26,2015,12,-1.0,-1.0,0.0
