,y_true,y_lasso,y_enet,,,
0,0.12244898,0.008651977,0.005679007,,0.012949758,0.013635227
1,0.217687075,0.008651977,0.005679007,,0.043695672,0.044947421
2,0.329931973,0.008651977,0.005679007,,0.103220835,0.105139986
3,-0.670068027,0.008651977,0.005679007,,0.460660845,0.456634054
4,0.276657902,0.011345481,0.010700792,,0.070390681,0.070733185
5,-0.004606845,0.011345481,0.010700792,,0.000254477,0.000234324
6,0.152070833,0.011345481,0.010700792,,0.019803625,0.019985488
7,0.158677723,0.011345481,0.010700792,,0.02170679,0.021897172
8,0.13036248,0.011345481,0.010700792,,0.014165046,0.01431892
9,-0.054630441,0.011345481,0.010700792,,0.004352822,0.00426817
10,-0.296253848,0.011345481,0.010700792,,0.094617348,0.094221151
11,-0.248589856,0.011345481,0.010700792,,0.067566379,0.06723164
12,-0.161284523,0.011345481,0.010700792,,0.029801118,0.029578949
13,-0.160812603,0.011345481,0.010700792,,0.029638406,0.029416845
14,-0.050383155,0.011345481,0.010700792,,0.003810424,0.003731249
15,-0.022067912,0.011345481,0.010700792,,0.001116455,0.001073788
16,-0.11687096,0.010757094,0.0096038,,0.01628892,0.015995865
17,-0.08676748,0.010757094,0.0096038,,0.009511043,0.009287424
18,-0.038790057,0.010757094,0.0096038,,0.00245492,0.002341965
19,-0.117498116,0.010757094,0.0096038,,0.016449399,0.016154897
20,-0.155127467,0.010757094,0.0096038,,0.027517688,0.02713639
21,-0.178959389,0.010757094,0.0096038,,0.035992344,0.035556076
22,-0.153246,0.010757094,0.0096038,,0.026897015,0.026520057
23,-0.103700688,0.010757094,0.0096038,,0.013100584,0.012837907
24,-0.198714799,0.010757094,0.0096038,,0.043878474,0.043396639
25,-0.160458292,0.010757094,0.0096038,,0.029314708,0.028921115
26,-0.162026181,0.010757094,0.0096038,,0.02985406,0.029456851
27,-0.0927042,0.013359071,0.014454942,,0.011249418,0.011483082
28,-0.19156622,0.013359071,0.014454942,,0.041994375,0.042444719
29,-0.189076889,0.013359071,0.014454942,,0.040980318,0.041425206
30,-0.071959771,0.013359071,0.014454942,,0.007279305,0.007467503
31,-0.144861621,0.013359071,0.014454942,,0.025033787,0.025381767
32,-0.187891493,0.013359071,0.014454942,,0.04050179,0.04094408
33,-0.219423024,0.013359071,0.014454942,,0.054187504,0.054698903
34,-0.154463328,0.013359071,0.014454942,,0.028164358,0.028533382
35,-0.186824636,0.013359071,0.014454942,,0.040073517,0.040513469
36,-0.102068828,0.013359071,0.014454942,,0.0133236,0.013577789
37,-0.080613162,0.013359071,0.014454942,,0.008830781,0.009037944
38,-0.097327244,0.013359071,0.014454942,,0.01225146,0.012495257
39,-0.346597435,0.012731459,0.013284817,,0.129117254,0.129515236
40,-0.340479149,0.012731459,0.013284817,,0.124757733,0.125148944
41,-0.351696008,0.012731459,0.013284817,,0.132807379,0.133211003
42,-0.346257531,0.012731459,0.013284817,,0.128873095,0.1292707
43,-0.339459434,0.012731459,0.013284817,,0.124038425,0.124428507
44,-0.296631426,0.012731459,0.013284817,,0.095705395,0.096048078
45,-0.330961813,0.012731459,0.013284817,,0.118125065,0.118505743
46,-0.305129047,0.012731459,0.013284817,,0.101035301,0.101387389
47,-0.0342249,0.012731459,0.013284817,,0.0022049,0.002257173
48,-0.274197707,0.012731459,0.013284817,,0.082328346,0.082646202
49,-0.338779624,0.012731459,0.013284817,,0.123560042,0.123949371
50,-0.342858482,0.012731459,0.013284817,,0.126444206,0.12683805
51,-0.479663692,0.01380363,0.01528378,,0.243509998,0.244973
52,-0.437352031,0.01380363,0.01528378,,0.20354143,0.204879177
53,0.091543738,0.01380363,0.01528378,,0.006043524,0.005815581
54,0.051812056,0.01380363,0.01528378,,0.00144464,0.001334315
55,0.250986463,0.01380363,0.01528378,,0.056255696,0.055555754
