car_id,mean,min,max
2,1299.347826,249,3218
3,1779.857143,119,4402
4,2691.4,2343,2945
6,2615,1867,3198
7,260.9166667,19,662
8,292.25,5,865
9,200.3529412,3,868
12,1502.672131,202,4541
13,2656.813333,478,5542
14,10209.8375,1688,17561
15,6467.685714,345,8829
16,10647,491,26834
18,360.1428571,79,943
19,3530.482759,1261,5500
20,801.1111111,1,1570
21,5783.727273,2696,9052
23,4380,219,10369
24,2753.7,6,12391
25,5772.583333,2677,10428
27,1861.5,5,3574
28,307,307,307
29,92.2,1,654
31,3592.8,2986,4455
34,373.25,2,1159
36,2848.833333,71,5772
37,1545.764706,103,4168
38,10307.23288,2611,22161
43,912.2545455,10,2720
44,8664.217391,2808,17846
45,3147.2,2044,4162
48,1209.384615,239,2664
49,1994.769231,912,2888
53,1415.383721,338,3720
54,2946.337662,1,8432
56,253.68,4,475
58,3409.5,1501,6260
59,2575.986486,221,5376
61,8670.322034,2531,21814
63,2010,1453,2934
65,3720.26506,632,6810
66,3803.878788,1,9632
67,1114.047619,1,2601
68,7749.142857,81,13407
69,711.75,300,1628
71,2109,1662,2556
74,4573.086957,1638,7714
75,10295.75,4963,15002
78,523.8235294,19,1962
79,284.2266667,1,1317
80,102.8095238,2,426
81,2061.5,9,4063
82,3108.956522,3,6348
84,8034,5496,10572
85,108.84,6,494
86,15204.40541,14,25684
87,8504.125,2021,12315
88,8218.785714,1581,18567
90,1733.041667,1,3371
93,20660.55,10140,26543
94,4730.294118,2901,6477
100,5672.125,4425,7629
103,3284,2556,4012
107,1580.533333,2,4613
108,2300.176471,1420,3860
109,3683.236842,1299,10094
112,990.3508772,569,2428
114,916.7567568,1,2449
116,11716.9375,19,20290
118,1452.4375,818,3642
120,850.5,146,2175
121,389.025974,2,875
122,2723.018868,179,6807
123,2089.25641,1,5865
124,6785.666667,924,13810
126,11468.35,2999,16213
130,209.5,187,232
131,9152.881356,2919,19242
133,4795.321429,1,9676
134,7752.030303,3156,11933
135,1488.055556,325,3169
138,1119.785714,174,2597
139,7908.416667,4614,11150
142,170.25,3,532
145,3859.590909,1560,7342
146,1017,974,1065
147,1075.186047,1,3458
148,111.8,1,257
149,38120.5625,22779,54546
150,3577.813559,919,7262
151,786.5875,35,2874
152,2616.742424,1,4603
154,3195.617284,9,6773
158,580.8333333,2,1824
159,4501.640449,340,11973
161,3758.166667,333,5924
162,2810.333333,2287,3216
163,3349.066667,118,9197
165,2462.5,1585,3594
167,3417.712121,674,5493
168,4143.482759,2898,5367
169,2094,2094,2094
170,9944,398,12741
172,2250.28125,1248,2780
173,2543.754098,3,5816
174,3725.873239,284,15094
175,3870.75,3238,5500
178,707.625,218,1173
181,9049.833333,3857,11344
182,2637.9,582,4711
184,1628.45,478,4567
185,3233.843137,1032,5783
187,48.6,5,105
188,8373.507937,3098,13052
189,1575.964286,5,2360
190,3875.56962,686,7185
191,6142,2218,11331
192,9915.857143,2307,20259
193,3601.75,3084,4169
195,1648.666667,478,2654
196,7.636363636,2,18
197,142.0454545,1,778
198,5990.111111,2494,7999
200,421.4444444,17,1463
204,1970.931507,6,5278
206,323.8888889,4,1665
209,571.975,1,2756
210,7284.888889,3914,10550
211,9211.142857,1,27941
212,2725.310345,10,5113
214,497.3793103,12,2027
216,4419.666667,1399,7632
217,593,4,1342
218,116.3518519,9,547
219,1074,301,3163
222,6928.5875,2891,22894
226,4818.821429,645,9441
227,6557.9,5785,8190
229,1389.061224,325,2217
230,695,519,1099
231,429.4666667,2,1881
233,623.5,287,2174
234,19459.14286,28,27928
235,5121.846154,1425,7479
236,1307.80597,4,3814
237,75.10526316,2,417
238,167.34375,15,344
240,174.516129,4,1362
241,1574.785714,9,4007
242,139.1904762,1,500
244,2497.95,1097,5218
245,862,862,862
247,1420.909091,180,2235
249,424,7,1987
250,6895.220588,3016,12178
251,404,130,720
252,7319.546667,95,14676
254,4378.096154,27,17764
256,1335.310345,146,3022
257,300,10,910
258,312.2,62,415
259,6312.392157,2,13947
260,1119.75,1008,1316
261,12847.88235,46,31472
262,3431.888889,433,5940
263,749.6666667,6,2029
264,2506.881579,6,7416
269,667.1547619,229,1317
270,41962.06667,18453,81153
271,5086.95,1914,8089
273,47.71428571,1,304
278,1932.770833,5,7416
280,8405.603774,1,21622
281,3350.512821,1593,6370
282,807.6428571,77,1500
284,197.0892857,3,1026
285,1702.3,762,4455
286,6868.84375,64,10553
287,6726,104,15012
288,2050.610169,459,3736
291,6197.876923,25,12597
293,28.18181818,1,171
294,4240.4,1664,5059
295,6,1,11
296,4468.388889,1137,6104
297,1646.578947,531,3708
300,1952.714286,20,4772
302,11526.8875,3939,22187
306,11018.34375,4342,15605
308,6498.806452,2348,12356
309,236.8139535,13,550
311,6260.277778,1810,7703
314,835.3421053,8,3264
315,14972.33333,930,24282
316,4014.470588,1256,7664
317,697.8333333,1,2145
318,6819.42029,705,9707
320,1263.461538,15,4625
321,20384.15068,10286,30264
322,115.5142857,1,357
324,11969.42857,805,22538
326,3005.857143,1826,5939
327,4653.642857,3007,7138
328,873,282,2275
330,5320.897436,725,12819
334,358.1627907,1,2573
335,4616.4,869,9006
336,9813.364706,2481,19103
337,227.8076923,61,495
339,62.68571429,3,171
342,73.93333333,1,984
343,393,243,493
344,3250.576271,3,9559
346,29880,17364,40219
347,4264.273973,1114,8548
349,2306.268293,10,5598
354,5927.6,714,8977
355,189.5625,1,1095
356,1628.4,247,4764
358,906.1578947,110,2001
360,2101.4,369,4968
364,712.25,282,1611
365,359.9491525,31,1306
367,6840.483146,1,12053
368,7134.130435,2955,9772
369,5311.777778,682,8572
372,33.65,9,122
373,308,308,308
376,3185.830508,843,5263
377,2281.111111,623,4474
379,8852.053571,1787,18592
380,5827,885,8295
381,9696.5,6403,11454
382,443.1666667,45,1019
383,154.7428571,30,582
385,7151.544118,1780,14255
386,929.6296296,308,1867
387,57.35,1,307
388,2702.111111,587,6400
389,231.967033,2,1518
394,5052.347826,1567,7654
399,1197.263158,32,3178
400,2238.961538,616,6115
401,4486.666667,826,6589
402,4752.25,2209,6837
403,6838.2,3593,15069
405,3635.382353,3,10527
406,1396.3125,927,1662
408,10377.05263,12,20054
409,1388.558824,305,5213
410,12190.18889,2662,30933
411,8717.625,3109,12491
413,3128.955556,13,7130
414,6655.577465,2,16321
415,373.1428571,24,3111
416,2950.75,66,6733
417,2540.166667,39,5090
419,3935.607143,518,6687
420,865.8571429,290,1722
421,3084.4,1941,4413
423,5827.333333,1629,7272
426,6421.323529,3446,8827
428,6169.526316,1715,12017
429,2877.0625,549,7433
430,668.3571429,181,1788
431,215.3225806,6,1197
432,1040,468,1566
433,5273.529412,2254,13294
435,9720,1109,12114
438,1570.086957,23,3530
439,4021.787879,136,7573
440,217.7,9,582
441,4177.236111,1197,9049
443,152.3958333,16,430
444,3779.62069,1040,6075
445,2968.918919,100,5020
448,11804,6264,21915
449,2177.153846,41,8232
450,1026.117647,210,1943
451,5283.785714,2107,11859
452,7320.903226,1587,14892
453,11.57894737,2,43
454,9020.675,76,17238
456,2387.569444,393,12549
457,12830.13235,17,18232
459,2708.466667,952,4937
460,316.5,29,1488
